company/brand,stage,amount,location,what_it_does,funded_year,investors,founded,sector,headquarter,founders,investor,column10
CoffeeMug.ai,Pre-Seed funding,620000.0,,"A video first global platform of senior professionals, connecting 1:1, virtually or over coffee, building a powerful, long-lasting relationship.",2021.0,,2020.0,Networking,New Delhi,"Abhishek Sharma, Dipti Tandon","Paradigm Shift Capital, AngelList India",
Insurance Samadhan,Series A,725000.0,,The insurance industry will help in representation with the insurance companies and will help to find adequate redressal for grievances.,2021.0,,2018.0,Insurance,New Delhi,Deepak Bhuvenshwari Uniyal,"9Unicorns, ZNL",
6Degree,Seed funding,400000.0,"Mumbai, Maharashtra, India",A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,2018.0,Undisclosed,2018.0,Consumer Goods,Mumbai,,,
MedPrime Technologies,Seed funding,1000000.0,,"MedPrime Technologies is a medical device company, dedicated to developing the best, customer-centric solutions for the healthcare needs of the world.",2021.0,,2014.0,Healthcare,Thane,"Samrat, Greeshma Unnikrishnan, Binil Jacob, Mahesh Kumar Rathor","Mumbai Angels Network, Social Alpha",
Ultraviolette,Series C,150000000.0,,Create and Inspire the future of sustainable urban transportation through Accelerated Innovation.,2021.0,,2021.0,Automotive,Bangalore,"Subramaniam Narayan, Niraj Rajmohan","TVS Motor, Zoho",
Tekie,Seed funding,1500000.0,,"Tekie is a live coding platform for kids that uses the power of storytelling, to make learning to code a movie-like experience.",2021.0,,2017.0,EdTech,Gurugram,"Anand Verma, Naman Mukund","GSV, Multiply Ventures",
GoBolt,Series B,20000000.0,,"GoBOLT is a tech-logistics company operating in Line Haul & Short Haul Trucking, creating value through dis-intermediation, increased asset utilization and extensive use of technology.",2021.0,,2015.0,Logistics,Gurugram,"Naitik Baghla, Parag Aggarwal, Sumit Sharma","Paragon Partners, Aavishkaar Capital",
SportZchain,Pre-Seed funding,400000.0,,SportZchain is India's first blockchain based platform poised to disrupt a multi-billion dollar fan engagement industry.,2021.0,,2021.0,sports,Mumbai,Siddharth Jaiswal,"Darq Capital, Jagadeesh Atukuri",
DcodeAI,,500000.0,,EMPOWER LEARNERS TO BE FUTURE READY USING AI,2021.0,,2020.0,EdTech,New Delhi,"Kartik Sharma, Ashish Aggarwal",S Chand,
Perpule,Series A,4963989.178503591,"Bangalore, Karnataka, India",Perpule is a self-checkout product for retail outlets to enhance the shopping experience of the customers.,2018.0,Undisclosed,2018.0,IT & Technology,Bangalore,,,
KoineArth,Series A,1800000.0,,"Koinearth is a stealth mode startup working at the intersection of blockchains, machine learning and mechanism design",2021.0,,2018.0,Blockchain startup,Bangalore,Praphul Chandra,YourNest,
Arthya Wealth and Investments,Series A,1000000.0,,"A comprehensive, high quality, open-architecture based Wealth Management and Investment Advisory platform, to cater to investors across the board: Individuals, Businesses/Corporate Treasuries, Family Offices, Trusts and more.",2021.0,,2020.0,FinTech,Mumbai,Gaurav Arora,"Rishi Kumar Bagla, Krishen Lal Khanna",
CanPe,Seed funding,1000000.0,,"Digital-first debt collections platform that is driven by compassion, and powered by AI.",2021.0,,2019.0,Computer software,Bangalore,Arindam Choudhury,Axilor Ventures,
SuperBottoms,,400000.0,,SuperBottoms was born out of a personal passion for cloth diapering that would give the convenience of diapers while not harming the environment and baby’s skin.,2021.0,,2015.0,Consumer Goods,Mumbai,Pallavi Utagi,Alteria Capital,
Droom,,200000000.0,,"Droom is an AI and data science driven online transactional platform, which offers 21st century experience in buying & selling used & new automobiles in India",2021.0,,2014.0,Automobile,Gurugram,Sandeep Aggarwal,,
MedPay,Seed funding,1200000.0,,MedPay® is building the real-time claims adjudication platform for health insurers.,2021.0,,2020.0,Information Technology,Bangalore,"Arun Bhatia, Ravi Chandra","Entrepreneur First (EF), GrowX Ventures",
Makers Hive,,9000000.0,,"Makers Hive has made it possible to bring the people with amputations together by developing a fully functional, customizable",2021.0,,2018.0,Tech Startup,Hyderabad,Pranav Vempati,"Starfish Growth Partners, Investpad",
ZiffyHomes,Seed funding,120000.0,"New Delhi, Delhi, India",ZiffyHomes is a technology driven marketplace to find out home on rent.,2018.0,Undisclosed,2018.0,Retail,New Delhi,,,
Career Anna,Seed funding,583998.7268827753,"Bangalore, Karnataka, India",India's Go to Career Commerce Portal,2018.0,Undisclosed,2018.0,Real Estate,Bangalore,,,
Swiggy,Series H,1000000000.0,"Bangalore, Karnataka, India",Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,2018.0,Undisclosed,2018.0,Transportation & Logistics,Bangalore,,,
Lavado,,3500000.0,,A startup that is trying to permanently change the way people approach the cleaning and maintenance of their apparel and accessories.,2021.0,,2016.0,Consumer service,Mumbai,Disha Jain,Ashish Shah,
8i Ventures,,50000000.0,,8i is a Mumbai & Bangalore based early stage fund that backs founders creating fintech and consumer category leaders in India.,2021.0,,2018.0,Venture Capital & Private Equity,Mumbai,Vikram Chachra,,
Braingroom,,200000.0,,"BrainGroom is an online marketplace for educational, recreational & wellness classes with defined target segment, quantifiable outcomes & specified time duration.",2021.0,,2015.0,EdTech,Chennai,"Madhula Sathyamoorthy, Naliene Ramasamy, Kalaiarsi Periasamy","IAN, Social Alpha, Startup Oasis",
Ola Electric,,200000000.0,,Charging ahead to accelerate the world’s transition to sustainable mobility.,2021.0,,2017.0,Automotive,Bangalore,Bhavish Aggarwal,"Falcon Edge, Softbank",
AppsForBharat,Seed funding,4000000.0,,"A mission to assist a billion Indians in their spiritual journey and help them feel happier, peaceful & more content.",2021.0,,2020.0,Spiritual,Bangalore,Prashant Sachan,"Sequoia Capital India, BEENEXT",
Remedico,,500000.0,,Remedico is a Mobile healthcare,2021.0,,2017.0,Healthcare,Hyderabad,Ranjit Bhatia,"Venture Catalysts, Tahseen Consulting",
Sarathi,Seed funding,100000.0,,"Offer a range of services like lab tests, consultation at home, nursing services, emergency services, and appointment management.",2021.0,,2020.0,HealthCare,Jodhpur,Aditi Poyam,,
Factors.AI,,2000000.0,,"Factors.AI is a Marketing Analytics platform providing sophisticated omnichannel, every-touch attribution technology and unparalleled performance insights for Marketers",2021.0,,2020.0,SaaS startup,Bangalore,"Aravind Murthy, Praveen Das, Srikrishna Swaminathan","Elevation Partners, Emergent Ventures",
Foyr,Series A,4200000.0,"Pune, Maharashtra, India","Foyr.com is India's first online, automated interior designer",2018.0,Undisclosed,2018.0,Consumer Goods,Pune,,,
Pickrr,Series B,12000000.0,,India's 1st Virtual Logistics solution catering to Global Brands/SMEs/Online sellers/AmazonSellers,2021.0,,2015.0,Logistics & Supply Chain,Gurugram,"Rhitiman Majumdar, Gaurav Mangla, Ankit Kaushik","IIFL, Amicus Capital, Ananta Capital",
Happyeasygo Group,Series A,566999.3634413877,"Haryana, Haryana, India",HappyEasyGo is an online travel domain.,2018.0,Undisclosed,2018.0,Travel & Tourism,Chandigarh,,,
byteXL,,200000.0,,"ByteXL is the first-ever, one-stop-shop for self-learning course work and guided training – preparing a new generation of coders for the workforce.",2021.0,,2019.0,E-learning,Hyderabad,"Sricharan Tadepalli, Karun Tadepalli",Joseph Joy,
Simple Energy,Pre-Seed funding,21000000.0,,A Research and development driven company on a mission to build the future of mobility that is electric and connected.,2021.0,,2019.0,Automotive,Bangalore,Suhas Rajkumar,,
Classplus,Series C,65000000.0,,Classplus was born out of an urge to redefine classroom engagement in this country.,2021.0,,2017.0,EdTech,Noida,"Mukul Rustagi, Bhaswat Agarwal",Tiger Global,
Kafqa Academy,Seed funding,1300000.0,,"Kafqa Academy is a global performing arts academy that offers classes in dancing, singing, and speech & drama.",2021.0,,2021.0,E-learning,Bangalore,Shariq Plasticwala,"Global Founders Capital, Enzia Ventures, Better Capital",
True Balance,,30000000.0,,"Balancehero India Private Limited (BHI), the wholly owned subsidiary of Balancehero Co. Ltd., Korea which runs and operates mobile App “True Balance”.",2021.0,,2014.0,Financial Services,Gurugram,Cheolwon Lee,"Northern Arc, Arthmate, Shine Star, E clear, Hinduja",
TrulyMadly,Series A,2000000.0,,Trulymadly is a dating platform that uses a match making algorithm.,2021.0,,2013.0,Dating,New Delhi,"Hitesh Dhingra, Rahul Kumar, Sachin Bhatia","Gaurav Munjal, Snehil Khanor",
Vakilsearch,,10000000.0,,"India's largest Legal, Compliance & Tax services platform, and trusted partner in making legal simple!",2021.0,,2010.0,Legal Services,Chennai,Hrishikesh Datar,InCorp India,
BHyve,Undisclosed,300000.0,,A Future of Work Platform for diffusing Employee Tacit Knowledge and enabling Peer Learning Networks,2021.0,,2020.0,HR,Mumbai,Backed by 100x.VC,"ITO Angel Network, LetsVenture, 100x.VC",
